seats,kms_driven,mileage,engine,max_power,torque,price,registration_tratada_antes_2010,registration_tratada_depois 2020,fuel_type_Diesel,fuel_type_Petrol,ownsership_tratado_First Owner,ownsership_tratado_None,ownsership_tratado_Second Owner,ownsership_tratado_Third Owner,transmission_tratado_Manual,transmission_tratado_None
5,15000,21.4,1197.0,1197.0,831.0,7.25,False,True,False,True,True,False,False,False,True,False
4,10000,19.4,2143.0,2143.0,204.0,38.0,False,False,True,False,True,False,False,False,False,False
7,9000,1997.0,200.0,200.0,380.0,23.45,False,True,False,True,True,False,False,False,False,False
5,10000,18.2,998.0,998.0,11836.0,10.2,False,True,False,True,True,False,False,False,True,False
5,70000,18.0,1493.0,1493.0,11343.0,14.95,False,True,True,False,True,False,False,False,False,False
5,30000,12.6,1950.0,1950.0,194.0,37.5,False,True,True,False,True,False,False,False,False,False
5,16684,20.25,998.0,998.0,11841.0,11.11,False,True,False,True,True,False,False,False,False,False
5,30000,2996.0,38487.0,38487.0,520.0,67.0,False,False,False,True,True,False,False,False,False,False
5,92543,1197.0,8180.0,8180.0,113.0,2.74,False,False,False,True,True,False,False,False,True,False
7,25000,1999.0,19713.0,19713.0,380.0,24.75,False,True,False,True,True,False,False,False,False,False
5,59870,21.7,1498.0,1498.0,9896.0,4.95,False,False,True,False,True,False,False,False,True,False
5,62700,18.6,1197.0,1197.0,8183.0,5.22,False,False,False,True,True,False,False,False,True,False
5,42132,17.8,1493.0,1493.0,1134.0,14.75,False,False,True,False,True,False,False,False,False,False
5,32000,15.04,1991.0,1991.0,183.0,25.75,False,False,False,True,True,False,False,False,False,False
5,58873,19.0,998.0,998.0,661.0,1.82,False,False,False,True,True,False,False,False,True,False
5,10000,14.99,1498.0,1498.0,1045.0,7.95,False,False,False,True,True,False,False,False,False,False
5,14069,19.33,1199.0,1199.0,8683.0,8.24,False,True,False,True,True,False,False,False,True,False
5,100000,1461.0,1085.0,1085.0,248.0,6.0,False,False,True,False,False,True,False,False,False,True
5,80000,19.01,1461.0,1461.0,10845.0,2.85,False,False,True,False,True,False,False,False,True,False
5,57453,17.8,1497.0,1497.0,1173.0,6.24,False,False,False,True,True,False,False,False,True,False
5,66717,1196.0,70.0,70.0,102.0,70000.0,False,False,False,True,False,False,True,False,True,False
7,40000,11.0,2987.0,2987.0,258.0,43.33,False,False,True,False,False,False,True,False,False,False
5,16433,1969.0,18740.0,18740.0,300.0,43.75,False,True,False,True,True,False,False,False,False,False
5,17860,15.71,1998.0,1998.0,189.0,29.9,False,False,False,True,True,False,False,False,False,False
7,52000,11.36,2755.0,2755.0,1715.0,22.5,False,True,True,False,True,False,False,False,False,False
5,30000,12.6,1950.0,1950.0,194.0,37.5,False,True,True,False,True,False,False,False,False,False
5,16684,20.25,998.0,998.0,11841.0,11.11,False,True,False,True,True,False,False,False,False,False
5,30000,2996.0,38487.0,38487.0,520.0,67.0,False,False,False,True,True,False,False,False,False,False
5,92543,1197.0,8180.0,8180.0,113.0,2.74,False,False,False,True,True,False,False,False,True,False
7,25000,1999.0,19713.0,19713.0,380.0,24.75,False,True,False,True,True,False,False,False,False,False
5,59870,21.7,1498.0,1498.0,9896.0,4.95,False,False,True,False,True,False,False,False,True,False
5,62700,18.6,1197.0,1197.0,8183.0,5.22,False,False,False,True,True,False,False,False,True,False
5,42132,17.8,1493.0,1493.0,1134.0,14.75,False,False,True,False,True,False,False,False,False,False
5,32000,15.04,1991.0,1991.0,183.0,25.75,False,False,False,True,True,False,False,False,False,False
5,58873,19.0,998.0,998.0,661.0,1.82,False,False,False,True,True,False,False,False,True,False
5,10000,14.99,1498.0,1498.0,1045.0,7.95,False,False,False,True,True,False,False,False,False,False
5,14069,19.33,1199.0,1199.0,8683.0,8.24,False,True,False,True,True,False,False,False,True,False
5,100000,1461.0,1085.0,1085.0,248.0,6.0,False,False,True,False,False,True,False,False,False,True
5,80000,19.01,1461.0,1461.0,10845.0,2.85,False,False,True,False,True,False,False,False,True,False
5,57453,17.8,1497.0,1497.0,1173.0,6.24,False,False,False,True,True,False,False,False,True,False
5,66717,1196.0,70.0,70.0,102.0,70000.0,False,False,False,True,False,False,True,False,True,False
7,40000,11.0,2987.0,2987.0,258.0,43.33,False,False,True,False,False,False,True,False,False,False
5,16433,1969.0,18740.0,18740.0,300.0,43.75,False,True,False,True,True,False,False,False,False,False
5,17860,15.71,1998.0,1998.0,189.0,29.9,False,False,False,True,True,False,False,False,False,False
7,52000,11.36,2755.0,2755.0,1715.0,22.5,False,True,True,False,True,False,False,False,False,False
5,27200,13.5,2925.0,2925.0,28161.0,77.0,False,True,True,False,True,False,False,False,False,False
5,25260,18.9,1197.0,1197.0,82.0,4.37,False,False,False,True,True,False,False,False,True,False
5,21421,20.37,1995.0,1995.0,18774.0,45.9,False,True,True,False,False,False,True,False,False,False
5,70215,20.36,1197.0,1197.0,789.0,3.08,False,False,False,True,True,False,False,False,True,False
6,32900,23.8,1493.0,1493.0,11398.0,20.0,False,True,True,False,True,False,False,False,False,False
5,40045,11.9,1950.0,1950.0,20115.0,43.9,False,True,False,True,True,False,False,False,False,False
5,75000,19.0,998.0,998.0,661.0,1.68,False,False,False,True,True,False,False,False,True,False
5,32325,11.9,1950.0,1950.0,20115.0,44.9,False,True,False,True,True,False,False,False,False,False
6,68000,12.4,1996.0,1996.0,21501.0,33.0,False,True,True,False,True,False,False,False,False,False
5,78501,20.7,1197.0,1197.0,8186.0,3.94,False,False,False,True,True,False,False,False,False,False
7,46853,12.83,1997.0,1997.0,23736.0,45.9,False,False,False,True,True,False,False,False,False,False
5,27114,21.01,1197.0,1197.0,8180.0,7.18,False,True,False,True,True,False,False,False,True,False
5,10000,998.0,11841.0,11841.0,172.0,11.7,False,True,False,True,False,True,False,False,False,True
5,88000,13.0,1591.0,1591.0,1213.0,8.65,False,False,False,True,True,False,False,False,False,False
5,58382,19.1,1197.0,1197.0,858.0,3.54,False,False,False,True,True,False,False,False,True,False
5,30000,1995.0,188.0,188.0,400.0,19.5,False,False,True,False,False,True,False,False,False,True
5,80000,15.0,1598.0,1598.0,1036.0,3.3,False,False,False,True,False,False,True,False,True,False
5,32628,11.9,1950.0,1950.0,20115.0,41.9,False,True,False,True,True,False,False,False,False,False
6,35000,12.4,1996.0,1996.0,21501.0,36.0,False,True,True,False,True,False,False,False,False,False
5,67264,1197.0,82.0,82.0,114.0,3.27,False,False,False,True,False,False,True,False,True,False
6,17000,16.0,1950.0,1950.0,16092.0,65.0,False,False,True,False,True,False,False,False,False,False
5,77584,26.6,998.0,998.0,5816.0,2.8,False,False,False,False,False,False,True,False,True,False
4,50000,7.81,4663.0,4663.0,459.0,98.5,False,False,False,True,True,False,False,False,False,False
7,70000,15.4,2179.0,2179.0,120.0,9.0,False,False,True,False,True,False,False,False,True,False
5,71977,1197.0,8180.0,8180.0,113.0,2.94,False,False,False,True,False,False,True,False,True,False
